postcode,district,suburb
3000,Melbourne,Melbourne
3001,Melbourne,Melbourne
3002,Melbourne,East+Melbourne
3003,Melbourne,West+Melbourne
3004,Melbourne,St+Kilda+Road+Melbourne
3005,Melbourne,World+Trade+Centre
3006,Melbourne,Southbank
3008,Melbourne,Docklands
3010,Melbourne,University+Of+Melbourne
3011,Melbourne,Footscray
3012,Melbourne,Brooklyn
3013,Melbourne,Yarraville
3015,Melbourne,Newport
3016,Melbourne,Williamstown
3018,Melbourne,Altona
3019,Melbourne,Braybrook
3020,Melbourne,Albion
3021,Melbourne,Albanvale
3022,Melbourne,Ardeer
3023,Melbourne,Burnside
3024,Melbourne,Mount+Cottrell
3025,Melbourne,Altona+North
3026,Melbourne,Laverton+North
3027,Melbourne,Williams+Landing
3028,Melbourne,Altona+Meadows
3029,Melbourne,Hoppers+Crossing
3030,Melbourne,Derrimut
3031,Melbourne,Flemington
3032,Melbourne,Ascot+Vale
3033,Melbourne,East+Keilor
3034,Melbourne,Avondale+Heights
3036,Melbourne,Keilor
3037,Melbourne,Delahey
3038,Melbourne,Keilor+Downs
3039,Melbourne,Moonee+Ponds
3040,Melbourne,Aberfeldie
3041,Melbourne,Essendon+North
3042,Melbourne,Airport+West
3043,Melbourne,Gladstone+Park
3044,Melbourne,Pascoe+Vale
3045,Melbourne,Melbourne+Airport
3046,Melbourne,Glenroy
3047,Melbourne,Broadmeadows
3048,Melbourne,Coolaroo
3049,Melbourne,Attwood
3050,Melbourne,Royal+Melbourne+Hospital
3051,Melbourne,Hotham+Hill
3052,Melbourne,Melbourne+University
3053,Melbourne,Carlton
3054,Melbourne,Carlton+North
3055,Melbourne,Brunswick+West
3056,Melbourne,Brunswick
3057,Melbourne,Brunswick+East
3058,Melbourne,Coburg
3059,Melbourne,Greenvale
3060,Melbourne,Fawkner
3061,Melbourne,Campbellfield
3062,Melbourne,Somerton
3063,Melbourne,Oaklands+Junction
3064,Melbourne,Craigieburn
3065,Melbourne,Fitzroy
3066,Melbourne,Collingwood
3067,Melbourne,Abbotsford
3068,Melbourne,Clifton+Hill
3070,Melbourne,Northcote
3071,Melbourne,Thornbury
3072,Melbourne,Northland+Centre
3073,Melbourne,Reservoir
3074,Melbourne,Thomastown
3075,Melbourne,Lalor
3076,Melbourne,Epping
3078,Melbourne,Alphington
3079,Melbourne,Ivanhoe
3081,Melbourne,Heidelberg+Heights
3082,Melbourne,Mill+Park
3083,Melbourne,Bundoora
3084,Melbourne,Banyule
3085,Melbourne,Macleod
3087,Melbourne,Watsonia
3088,Melbourne,Briar+Hill
3089,Melbourne,Diamond+Creek
3090,Melbourne,Plenty
3091,Melbourne,Yarrambat
3093,Melbourne,Lower+Plenty
3094,Melbourne,Montmorency
3095,Melbourne,Eltham
3096,Melbourne,Wattle+Glen
3097,Melbourne,Bend+Of+Islands
3099,Melbourne,Arthurs+Creek
3101,Melbourne,Kew
3102,Melbourne,Kew+East
3103,Melbourne,Balwyn
3104,Melbourne,Balwyn+North
3105,Melbourne,Bulleen
3106,Melbourne,Templestowe
3107,Melbourne,Templestowe+Lower
3108,Melbourne,Doncaster
3109,Melbourne,Doncaster+East
3110,Melbourne,Nunawading+Bc
3111,Melbourne,Donvale
3113,Melbourne,North+Warrandyte
3114,Melbourne,Park+Orchards
3115,Melbourne,Wonga+Park
3116,Melbourne,Chirnside+Park
3121,Melbourne,Burnley
3122,Melbourne,Hawthorn
3123,Melbourne,Hawthorn+East
3124,Melbourne,Camberwell
3125,Melbourne,Bennettswood
3126,Melbourne,Camberwell+East
3127,Melbourne,Mont+Albert
3128,Melbourne,Box+Hill
3129,Melbourne,Box+Hill+North
3130,Melbourne,Blackburn
3131,Melbourne,Brentford+Square
3132,Melbourne,Mitcham
3133,Melbourne,Vermont
3134,Melbourne,Ringwood
3135,Melbourne,Bedford+Road
3136,Melbourne,Croydon
3137,Melbourne,Kilsyth
3138,Melbourne,Mooroolbark
3139,Melbourne,Hoddles+Creek
3140,Melbourne,Lilydale
3141,Melbourne,South+Yarra
3142,Melbourne,Hawksburn
3143,Melbourne,Armadale
3144,Melbourne,Kooyong
3145,Melbourne,Caulfield+East
3146,Melbourne,Glen+Iris
3147,Melbourne,Ashburton
3148,Melbourne,Chadstone
3149,Melbourne,Mount+Waverley
3150,Melbourne,Glen+Waverley
3151,Melbourne,Burwood+East
3152,Melbourne,Knox+City+Centre
3153,Melbourne,Bayswater
3154,Melbourne,The+Basin
3155,Melbourne,Boronia
3156,Melbourne,Ferntree+Gully
3158,Melbourne,Upwey
3159,Melbourne,Menzies+Creek
3160,Melbourne,Belgrave
3161,Melbourne,Caulfield+Junction
3162,Melbourne,Caulfield
3163,Melbourne,Carnegie
3164,Melbourne,Dandenong+South
3165,Melbourne,Bentleigh+East
3166,Melbourne,Hughesdale
3167,Melbourne,Oakleigh+South
3168,Melbourne,Clayton
3169,Melbourne,Clarinda
3170,Melbourne,Mulgrave
3171,Melbourne,Sandown+Village
3172,Melbourne,Dingley+Village
3173,Melbourne,Keysborough
3174,Melbourne,Noble+Park
3175,Melbourne,Bangholme
3176,Melbourne,Scoresby+Bc
3177,Melbourne,Doveton
3178,Melbourne,Rowville
3179,Melbourne,Scoresby
3180,Melbourne,Knoxfield
3181,Melbourne,Prahran
3182,Melbourne,St+Kilda
3183,Melbourne,Balaclava
3184,Melbourne,Brighton+Road
3185,Melbourne,Elsternwick
3186,Melbourne,Brighton
3187,Melbourne,Brighton+East
3188,Melbourne,Hampton
3189,Melbourne,Moorabbin
3190,Melbourne,Highett
3191,Melbourne,Sandringham
3192,Melbourne,Cheltenham
3193,Melbourne,Beaumaris
3194,Melbourne,Mentone
3195,Melbourne,Aspendale
3196,Melbourne,Bonbeach
3197,Melbourne,Carrum
3198,Melbourne,Belvedere+Park
3199,Melbourne,Frankston
3200,Melbourne,Frankston+North
3201,Melbourne,Carrum+Downs
3202,Melbourne,Heatherton
3204,Melbourne,Bentleigh
3205,Melbourne,South+Melbourne
3206,Melbourne,Albert+Park
3207,Melbourne,Garden+City
